   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-10332-00-00  ,  Smith 51  ,  Greenway Energy LLC  ,2009,0.00,739.00,0.00,12,Gas Development, 
   31-013-12605-00-00  ,  Smith 510  ,  PPP Future Development Inc.  ,2009,0.00,22.00,0.00,12,Gas Development, 
   31-013-10968-00-00  ,  Smith 517  ,  Greenway Energy LLC  ,2009,0.00,375.00,0.00,8,Gas Development, 
   31-013-13773-00-00  ,  Smith 571  ,  Greenway Energy LLC  ,2009,0.00,1673.00,0.00,12,Gas Development, 
   31-003-65825-00-00  ,  Smith 6  ,  Collins Dave  ,2009,14.00,0.00,0.00,12,Oil Development, 
   31-009-67646-00-00  ,  Smith 7  ,  Case Brothers Inc.  ,2009,54.00,0.00,6.00,12,Oil Development, 
   31-011-17556-00-00  ,  Smith 7261  ,  Smith Frederick H.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-029-25332-00-00  ,  Smith 8  ,  PPP Future Development Inc.  ,2009,0.00,665.00,1300.00,2,Gas Development, 
   31-009-67648-00-00  ,  Smith 9  ,  Case Brothers Inc.  ,2009,54.00,0.00,6.00,12,Oil Development, 
   31-011-17596-00-00  ,  Smith A118-2  ,  OI Auburn Inc.  ,2009,0.00,2982.00,0.00,12,Gas Development, 
   31-011-17597-00-00  ,  Smith A118-3  ,  OI Auburn Inc.  ,2009,0.00,2216.00,0.00,12,Gas Development, 
   31-011-17598-00-00  ,  Smith A118-4  ,  OI Auburn Inc.  ,2009,0.00,5679.00,0.00,12,Gas Development, 
   31-009-16842-00-00  ,  Smith B2  ,  AJAR International Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-013-14628-00-00  ,  Smith C 1  ,  PPP Future Development Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-009-16807-00-00  ,  Smith D 1  ,  Stedman Energy Inc.  ,2009,0.00,479.00,0.00,12,Gas Development, 
   31-013-04711-00-00  ,  Smith F & A A3  ,  Lemiszko Zachary  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-011-20623-00-00  ,  Smith Harvey Est (1048-1)  ,  Greenway Energy LLC  ,2009,0.00,4436.00,5.00,12,Gas Development, 
   31-029-03692-00-00  ,  Smith Henry 2  ,  Iroquois Gas Corp.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-029-03694-00-00  ,  Smith Henry 3  ,  Iroquois Gas Corp.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-009-20347-00-00  ,  Smith Lease 2  ,  Case Brothers Inc.  ,2009,10.00,,5.00,12,Oil Development, 
   31-009-20346-00-00  ,  Smith Lease 8  ,  Case Brothers Inc.  ,2009,10.00,,5.00,12,Oil Development, 
   31-013-11069-00-00  ,  Smith M&W Fee 5  ,  PPP Future Development Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-051-04151-00-00  ,  Smith N834  ,  PPP Future Development Inc.  ,2009,0.00,218.00,0.00,12,Gas Development, 
   31-051-04495-00-00  ,  Smith N931  ,  PPP Future Development Inc.  ,2009,0.00,383.00,0.00,12,Gas Development, 
   31-029-22538-00-00  ,  Smith R 1  ,  Greenway Energy LLC  ,2009,0.00,5674.00,0.00,12,Gas Development, 
   31-101-21459-00-00  ,  Smith Stock Farms 1  ,  PPP Future Development Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
