   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-20736-00-00  ,  Chaut. Partners Ltd. 1  ,  3 Wells LLC  ,1991,0.00,2173.00,50.00,9, GD , 
   31-013-20737-00-00  ,  Chaut. Partners Ltd. 3  ,  3 Wells LLC  ,1991,0.00,5371.00,75.00,9, GD , 
   31-013-20402-00-00  ,  Chaut. Ptns. Ltd. 2  ,  3 Wells LLC  ,1991,0.00,3927.00,72.00,9, GD , 
   31-013-16823-00-00  ,  Chautauqua Co 1  ,  PPP Future Development Inc.  ,1991,0.00,3780.00,0.00,12, GD , 
   31-013-16824-00-00  ,  Chautauqua Co 2  ,  PPP Future Development Inc.  ,1991,0.00,2260.00,0.00,7, GD , 
   31-013-17962-00-00  ,  Chautauqua Co 4  ,  PPP Future Development Inc.  ,1991,0.00,3226.00,0.00,12, GD , 
   31-013-16878-00-00  ,  Chautauqua Co 5  ,  PPP Future Development Inc.  ,1991,0.00,3686.00,0.00,8, GD , 
   31-013-19705-00-00  ,  Chautauqua Co Unit 9  ,  PPP Future Development Inc.  ,1991,4033.00,2146.00,2059.00,0, GD , 
   31-013-18854-00-00  ,  Chautauqua County 1  ,  PPP Future Development Inc.  ,1991,0.00,3477.00,0.00,12,Not Listed, 
   31-013-16951-00-00  ,  Chautauqua County 14-1  ,  Sam Koehler Enterprises Inc.  ,1991,0.00,2584.00,1500.00,4, GD , 
   31-013-18631-00-00  ,  Chautauqua County 14-3  ,  Sam Koehler Enterprises Inc.  ,1991,0.00,12148.00,525.00,4, OD , 
   31-013-18534-00-00  ,  Chautauqua County 14-4  ,  Sam Koehler Enterprises Inc.  ,1991,0.00,1913.00,375.00,4, OD , 
   31-013-19785-00-00  ,  Chautauqua County 7  ,  Chautauqua County Division of Solid Waste  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-19814-00-00  ,  Chautauqua County 8  ,  PPP Future Development Inc.  ,1991,0.00,786.00,1050.00,4, GD , 
   31-013-14589-00-00  ,  Chautauqua Inst 1  ,  Greenway Energy LLC  ,1991,0.00,586.00,0.00,2, GD , 
   31-013-14451-00-00  ,  Chautauqua Inst 2  ,  Greenway Energy LLC  ,1991,0.00,130.00,0.00,1, GD , 
   31-013-14452-00-00  ,  Chautauqua Inst 3  ,  Greenway Energy LLC  ,1991,0.00,348.00,0.00,1, GD , 
