   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-15520-00-00  ,  Bly 1  ,  PPP Future Development Inc.  ,1988,0.00,4273.00,70.00,10, GD , 
   31-013-15521-00-00  ,  Bly 2  ,  PPP Future Development Inc.  ,1988,0.00,1618.00,50.00,10, GD , 
   31-013-18658-00-00  ,  Bly 3  ,  PPP Future Development Inc.  ,1988,0.00,686.00,0.00,10, GD , 
   31-013-19112-00-00  ,  Bly/Bauer 1-260  ,  K. Petroleum Inc.  ,1988,0.00,46188.00,213.00,12, GD , 
   31-013-17927-00-00  ,  Boardman & Pratt IGC-6252  ,  PPP Future Development Inc.  ,1988,31.00,1966.00,31.00,12, GD , 
   31-013-16084-00-00  ,  Boardman 2  ,  Stedman Energy Inc.  ,1988,0.00,5100.00,0.00,12, GD , 
   31-013-16086-00-00  ,  Boardman 3  ,  Berea Oil & Gas Corp.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-14760-00-00  ,  Boardway IGC-1173  ,  Empire Energies  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-18112-00-00  ,  Boasberg 1  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,10183.00,30.00,12, GD , 
   31-029-20103-00-00  ,  Boasberg 2  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,11058.00,0.00,12, GD , 
   31-009-15603-00-00  ,  Boberg 1  ,  Boberg Daniel F.  ,1988,0.00,1958.00,0.00,12, GD , 
   31-013-11085-00-00  ,  Boccolucci 1191  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-14456-00-00  ,  Bockman 1  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,802.00,0.00,5, GD , 
   31-029-14457-00-00  ,  Bockman 2  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,313.00,0.00,5, GD , 
   31-013-17630-00-00  ,  Boe; L 2  ,  Greenway Energy LLC  ,1988,0.00,5928.00,0.00,12, GD , 
   31-013-19851-00-00  ,  Boettcher 6  ,  Universal Resources Holdings Inc.  ,1988,0.00,21223.00,125.00,11, GD , 
   31-009-17657-00-00  ,  Bohayczyk;C 1  ,  Texas Meridian Operating Co.  ,1988,0.00,0.00,0.00,0, GD , 
   31-121-18203-00-00  ,  Bojarczuk 1  ,  PXG Energy LLC  ,1988,0.00,703.00,0.00,3, GD , 
   31-121-18515-00-00  ,  Bojarczuk 2  ,  PXG Energy LLC  ,1988,0.00,1699.00,0.00,3, GD , 
   31-013-19140-00-00  ,  Boland 1  ,  Kiebler Recreation LLC Debtor  ,1988,0.00,9217.00,160.00,5, GD , 
   31-029-13594-00-00  ,  Boldt 1  ,  Stedman Energy Inc.  ,1988,0.00,2421.00,0.00,9, GD , 
